acc,congress_cutoff,data_type,dropout_type,k_dim,k_time,loss,n_leg,n_votes,no_point_dropout,val_acc,val_loss,yes_point_dropout
0.8572927907519706,0,cosponsor,,1,0,0.3184487825885699,2181,294546,0.2,0.8389687068267291,0.3861435707779548,0.2
0.8795192230417833,0,cosponsor,,2,0,0.2771754826934285,2181,294546,0.2,0.8458828647927218,0.3911980302701129,0.2
0.8974354059137964,0,cosponsor,,3,0,0.2382207599351858,2181,294546,0.2,0.8510292084119304,0.3788982358770209,0.2
0.9113075148726418,0,cosponsor,,4,0,0.2096325212919273,2181,294546,0.2,0.8521537784393627,0.3899939079777049,0.2
0.8351562563737084,0,cosponsor,,1,0,0.3866558568883801,2181,294546,0.5,0.8180064620622546,0.427096702311396,0.5
0.9213307135834584,0,cosponsor,,5,0,0.19040845762920053,2181,294546,0.2,0.8532952221862248,0.40033042626781823,0.2
0.8462265832993263,0,cosponsor,,2,0,0.3669651373972241,2181,294546,0.5,0.8164435553533267,0.4202545417675556,0.5
0.932791666408274,0,cosponsor,,6,0,0.16683686460309372,2181,294546,0.2,0.8591173546732839,0.3994888191377294,0.2
0.8659917374412098,0,cosponsor,,3,0,0.3385322482275772,2181,294546,0.5,0.8253734217459413,0.3999068683749876,0.5
0.939972000326098,0,cosponsor,,7,0,0.15114244307249045,2181,294546,0.2,0.8601009000471892,0.4160910905503803,0.2
0.8726821052582158,0,cosponsor,,4,0,0.3161221448051657,2181,294546,0.5,0.8210611633209597,0.4029232603334392,0.5
0.9467241427708109,0,cosponsor,,8,0,0.13435608330732388,2181,294546,0.2,0.8628775724014127,0.4389182600899923,0.2
0.8821093702961569,0,cosponsor,,5,0,0.27978736617612204,2181,294546,0.5,0.8229675870458127,0.4023016447445713,0.5
0.8942662989996276,0,cosponsor,,6,0,0.25926064347584976,2181,294546,0.5,0.8268270434050206,0.3983994195272729,0.5
0.9094710983240556,0,cosponsor,,7,0,0.2351613354344297,2181,294546,0.5,0.8336206690304414,0.39054533707063216,0.5
0.9142292275594724,0,cosponsor,,8,0,0.22585231914532544,2181,294546,0.5,0.8326969872374153,0.3942601652627847,0.5
0.8573625006099619,0,cosponsor,,1,0,0.3198967484378002,2181,294546,0.0,0.8375267332456438,0.4107776644060482,0.0
0.8899091430143288,0,cosponsor,,2,0,0.25170661576673103,2181,294546,0.0,0.8550212520206788,0.3985876665587347,0.0
0.9068986300354815,0,cosponsor,,3,0,0.21663357695211807,2181,294546,0.0,0.8580233174807671,0.4063146897850843,0.0
0.9209404898097284,0,cosponsor,,4,0,0.18998184051666928,2181,294546,0.0,0.86180403055157,0.4157223198421786,0.0
0.9313386440918994,0,cosponsor,,5,0,0.16762115127127902,2181,294546,0.0,0.8645031594616984,0.4296932363007173,0.0
0.9389407427040324,0,cosponsor,,6,0,0.15177785217661868,2181,294546,0.0,0.8656381728916778,0.4408646182599375,0.0
0.94717905222311,0,cosponsor,,7,0,0.12864901669790355,2181,294546,0.0,0.8693035745875329,0.4546874200763592,0.0
0.9535556349833348,0,cosponsor,,8,0,0.11475864593166675,2181,294546,0.0,0.8712361162850871,0.4680742372449701,0.0
0.8564926558838646,0,cosponsor,normal,1,0,0.32035935303166785,2181,294546,0.2,0.8380835949008028,0.3879365041630056,0.2
0.8839654747267954,0,cosponsor,normal,2,0,0.26803152954979365,2181,294546,0.2,0.8546190749939909,0.3605895536368107,0.2
0.8967750872294975,0,cosponsor,normal,3,0,0.2414535955541773,2181,294546,0.2,0.8565082251245508,0.35975462866074903,0.2
0.9111718150559598,0,cosponsor,normal,4,0,0.2115260423647626,2181,294546,0.2,0.8629735980757895,0.3506335990442521,0.2
0.9212906351601772,0,cosponsor,normal,5,0,0.1900478884606913,2181,294546,0.2,0.8679447693546192,0.3454229490396689,0.2
0.9296256720635696,0,cosponsor,normal,6,0,0.17294078104302388,2181,294546,0.2,0.8717994040668807,0.3408231950795885,0.2
0.935430730063213,0,cosponsor,normal,7,0,0.15998003817844852,2181,294546,0.2,0.8746299147154961,0.3386122364202433,0.2
0.9409520312992924,0,cosponsor,normal,8,0,0.1476564345106652,2181,294546,0.2,0.876865796179128,0.34058386581757943,0.2
0.9450423101177732,0,cosponsor,normal,9,0,0.13755575163114164,2181,294546,0.2,0.8781040690953937,0.3436877195037366,0.2
0.9490820626689898,0,cosponsor,normal,10,0,0.1291341885826052,2181,294546,0.2,0.8799261221757605,0.3413496033133654,0.2
